feedback_text,emotion_label
Magandang pasasalamat sa team ng City Social Welfare ng Urdaneta na nagbigay ng ayuda sa mga pamilya sa Mabanogbog na nasunugan. Hindi ninyo sila pinabayaan. God bless kayo! 🙏,grateful
"Sobrang delikado ng kalsada sa bypass ng Anonas sa gabi — walang sapat na ilaw, maraming lubak, at halos bawat linggo may nababalitang aksidente. Ilang pang buhay ang kailangang mawala bago maaksyunan ito? 😔",sad
Nakakagalit ang pagwawalang-bahala ng aming kapitan sa aming mga panawagan! Nasa Facebook pa namin to ikinukwento para malaman ng lahat na nagtatago siya sa kanyang responsibilidad! SANA MABASA ITO NG MGA KINAUUKULAN! 😡,angry
Goodmorning po! Suggestion lang — sana po magkaroon ng barangay health station sa Zone 4 Pinmaludpod. Malayo kasi kami sa CHO at madalas nahihirapan ang mga matatanda. Salamat po sa inyong patuloy na serbisyo!,satisfied
boss. question lang. hindi kaya its about time to put humps and additional lights sa bypass road? and maybe more police visibility? alsmosť every week may disgrasya or patay eh. i have friends na nadale na sa lugar nato.,sad
Pakiusap lang po sa mga residente ng Palina West — wag po sanang gumamit ng ilog bilang palikuran. May community CR naman po tayo. Para sa kalinisan at kalusugan ng lahat. Salamat po sa pakikinig!,satisfied
"BABALA SA MGA MAY KAPANGYARIHAN: Kung hindi maaksyunan ng aming barangay ang basurahan na ito sa loob ng isang linggo, magsasagawa kami ng peaceful protest para makita ng publiko ang kawalan ng aksyon ng aming mga opisyal! Residente kami, hindi lang bilang boto! 😡",angry
Pakicheck naman po yung mga traffic barriers sa Nancamaliran na halos matumba na — matagal na po yung ilan na nakabalagbag sa kalsada. Delikado po para sa mga nag-oovernight na sasakyan. Salamat!,satisfied
"Regarding dito sa likod ng mall.. Ginagawa po kasing cr ng mga tricycle driver ung likod ng pwesto namin, Grabe po ang panghi niyan as in.. Lalo na pag humahangin po..Di naman po binibigyang pansin po.",sad
Saludo po sa MDRRMO Urdaneta team na agad na nag-pre-position ng rescue boats bago pa man tumaas ang tubig. Handa kayo palagi. Dahil sa inyo ligtas ang maraming pamilya. 🙏💪,grateful
"Attention po sa mga tricycle drivers sa Nancayasan terminal — pakiayos po ng pagsakay ng pasahero, nagiging kaba-kaba na sa terminal, nagiging dahilan ng traffic. Sana mapagkasunduan. Salamat!",satisfied
"Grabe ang improvement ng kalsada sa Nancamaliran West ngayon. Dati puro lubak lubak, ngayon patag at maayos na. Salamat LGU at sa lahat ng nag-trabaho para dito! 👏",grateful
Shout out sa mga pulis na naka-deploy sa entrance ng Urdaneta — maayos at magalang silang makausap kahit busy sila. Iba yun. Maraming salamat sa inyong serbisyo! 🙏,grateful
"Nakakabuwisit ang sistema ng aming barangay sa Nancamaliran West — pumunta kami para sa barangay clearance, pinabalik-balik nang tatlong beses dahil 'absent ang official'! Trabaho nila yun! Bakit hindi sila nandoon?! 😡",angry
Salamat sa aming barangay kagawad na hindi nagpabaya sa aming reklamo tungkol sa basura sa kanto. Personal niyang tiningnan at pinaaksyunan agad. Ganito ang tunay na serbisyo! 🙏,grateful
"Grabe na ang kapalmuks ng mga opisyal naming binalewala ang aming reklamo ng ilang buwan! Nagbabayad kami ng tamang buwis, at ito ang kabayaran namin — katahimikan at pagwawalang-bahala! HINDI ITO KATANGGAP-TANGGAP! 😡",angry
"Ito na ang huling pagkakataon na mag-reklamo kami ng mahinahon — kung hindi maaaksyunan ng Brgy. Nancayasan ang problema ng stray dogs sa aming lugar sa loob ng isang linggo, magsasangkot na kami ng media at nagtatanong ng formal na imbestigasyon! 😡",angry
Sawa na kami sa mga contractor na basta na lang umaalis pagkatapos ng trabaho nang hindi nililinis ang kanilang mga ginawang kalat! Ang kalsada sa Brgy. Bactad West ay mas masama pa pagkatapos ng kanilang 'repair' kaysa dati! Sino ang may pananagutan?! 😡,angry
"Kaya hindi umuusad ang ating lungsod kasi ang mga opisyal ay mas interesado sa pampulitika kaysa sa tunay na serbisyo! Noong eleksyon, narito sila. Ngayon? Ni katawang mag-check lang ng aming reklamo ay hindi! 😤",angry
Paulit-ulit na kaming nagreklamo ng live wire na nakalaylay sa kalsada ng Zone 3 Nancamaliran — ilang linggo na ito! May aksidente pa kaya bago maaksyunan?! Hindi ko na kaya ang ganitong pagpapabaya ng mga may responsibilidad! 😡,angry
Pakicheck naman po yung mga manhole sa main road ng Poblacion — ilan po ang sira ang takip at delikado para sa mga motorsiklo. Sana aksyunan bago pa may maaksidente. Salamat! 🙏,satisfied
"Good afternoon. Pakiayos naman po yung traffic light sa intersection ng Quezon Ave at McArthur Highway — hindi na gumagana properly, lagi pong red. Nagiging bottleneck po ng trapiko dun. Salamat!",satisfied
"Dati grabe talaga ang lubak ng daan sa Tabuyoc Road, Cayambanan, lalo na pag umuulan parang ligo na rin ang sapatos mo 😅 Ngayon patag na, may mga ilaw pa! Malaking tulong po sa amin araw-araw. Salamat LGU! Sana ganito rin sa ibang parte ng Cayambanan 🙏",grateful
Grabe ang pandarambong sa aming barangay funds ng Zone 2 Palina West — yung biniling materyales para sa road repair ay hindi tugma sa dami ng ginamit! Saan napunta ang natirang materyales?! Imbestigahan na kayo! 😡,angry
Nag-aalala po kami dito sa Zone 2 Nancamaliran dahil sa patuloy na pagtaas ng tubig tuwing umuulan. Ang aming mga gamit at kasangkapan ay nasisira na. Hindi na kami alam ang gagawin. 😔,sad
"Nakakaawa na po ang lagay ng kalsada dito sa Calle Garcia interior — buwan na ang lubak na yun, hindi pa rin naaayos. Mahirap nang makalusot ang mga sasakyan at mas mahirap sa mga may naka-wheelchair.",sad
salamat sa mga rumespondeng otoridad riot ng mga kabataan kanina,grateful
Suggest ko po na mag-set up ng complain box ang CHO Urdaneta para sa mga pasyente na may reklamo sa serbisyo. Mas madaling ma-address ang mga isyu kung may formal na channel. Salamat po!,satisfied
UPDATE MALINIS NA PO at wala ng nakaharang ng mga nakaparada sa tapat ng Sub station,sad
Baka pwede pong makipag-coordinate ang LGU Urdaneta sa TELCO para gawing underground ang mga kable sa main road? Sa lahat ng umuulan laging may naputol. Mas ligtas po sana kung underground. Salamat!,satisfied
Grabe ang takot namin nung nahulog ang malaking sanga ng puno sa kalsada ng Mabanogbog kagabi. May dumaan pang motorsiklo bago yun mahulog. Buti walang nasugatan. Pero yun pang natirhan na sanga ay delikado pa rin. 😟,sad
Pakicheck naman po yung naputol na sanga ng puno malapit sa Zone 2 Nancamaliran West na nakaabang na sa kalsada. Delikado na po anumang oras maaaring bumagsak sa dumadaang sasakyan. Sana aksyunan agad. Salamat!,satisfied
"Suggest ko lang po maglagay ng humps sa kalsada ng Zone 3 Catablan — talagang mabilis ang mga sasakyan doon, delikado na lalo na may mga bata. Sana maaksyunan. Thank you po!",satisfied
"Hello po. May suggestion lang po sana akong ihahatid. Baka pwede pong dagdagan ang frequency ng garbage collection sa interior barangays ng Urdaneta? Dalawang beses lang po sa isang linggo, kulang pa po. Salamat!",satisfied
"Pagod na pagod na akong makita ang paulit-ulit na pag-aapaw ng basura sa kanto ng aming barangay — sinabi na namin ito ng sinabi, isinumbong na, nagreklamo na, pero puro boses sa hangin! Kailan ba may makinig sa amin?! 😡",angry
"November pa nung pinatagilid ito ng bagyo Till now 3 months after di nyo pa rin inaasikaso ,naayos na ng PANELCO III yung part nila, inayos na rin ng brgy Poblacion yung malaking punong natumba, kayo ano pang hininintay nyo bumagyo ulit? O mag pasko?",sad
illegally parked vehicles infront of Cultural Walang daaanan ang tao,sad
"The Asingan - Urdaneta Road rehabilitation is also underway, with funds already approved by Governor Guico III to improve the roads and ensure better access.",satisfied
"Nakakalungkot na po ang kondisyon ng playground sa Brgy. Pinmaludpod — sira na ang mga kagamitan, puno na ng damo, at walang ilaw. Wala na ding bata ang nagagawang maglaro doon nang ligtas. 😟",sad
Natumba ang isang malaking sanga ng punong mangga sa kalsada ng Zone 1 lampas lang konti ng arko ng Brgy Mabanogbog at sa kasamaaang palad ay na nadamay dito ang linya ng panelco III  na naging dahilan ng pagkawala ng kuryente sa nasabing Lugar,sad
Reklamo ko ang kagagawan ng mga empleyado ng city licensing office — pinagbabayad kami ng hindi malinaw na bayarin para sa renewal ng lisensya! Ito ay tahasang pandaraya sa mga mamamayan! Dapat aksyunan ng DILG! 😡,angry
"CALL OUT sa TELCO na Mayari ng Posteng halos matumba na sa Calle Garcia (Papasok ng interior), nakalaylay na rin yung ibang wire kahapon nung dumaan ako sign na unti unting dumadausdos pabagsak ang poste anong hinihintay nyo mayadisgrasya muna bago nyo ayusin?",sad
Sobra na! Tatlong buwan na kaming nagreklamo ng basura sa kanto ng Zone 2 Nancamaliran at hanggang ngayon wala pa ring aksyon! Hindi na ba naririnig ang mga mamamayan? Ano ba ang trabaho ng inyong mga opisyal?! 😤,angry
sobrang init sa cho wala ba silang gagawin about dito,sad
"Shout out po sa mga aso sa san vicente lalo na sa Zone 1, napaka daming asong nakawala Muntikan na kaming ma disgrasya dahil sakanila, Papunta kaming cayambanan Last week yun nakalimutan ko lang ishare sainyo, pero kada dumadaan kami Nakikita parin namin andaming mga aso color white and black sila sana ma actionan ng Barangay officials yan thank you.",grateful
Kudos po sa traffic enforcers namin dito sa main road ng Poblacion. Napaka-ayos na ng daloy ngayon lalo na rush hour. Sana ganito palagi! 🙏,grateful
Nakakalungkot isipin na ilang ulit na kaming nag-reklamo ng basura sa kanto ng Zone 3 Nancamaliran pero hanggang ngayon wala pa ring aksyon. Parang hindi na kami naririnig ng aming mga opisyal. 😟,sad
Suggest ko lang po na magkaroon ng mas maayos na pasilidad para sa mga pasyente na naghihintay sa CHO Urdaneta. Puno po ang waiting area at mainit. Sana mabigyan ng solusyon. 🙏,satisfied
Pakibisita naman po ang kalsada sa Calle Garcia interior — malapit nang maging impassable ang daan dahil sa mga butas at nakabalagbag pang puno. Sana maaksyunan bago dumating ang ulan. Salamat!,satisfied
suggest ko lang mgag trashcan along the side of city hall,satisfied
Natatakot po akong iwan ang aking lola sa bahay dahil ang kalsada papunta sa amin ay delikado na — malaking butas at sa gabi ay wala pong ilaw. Sana pong maaksyunan ito ng barangay namin sa Sugcong. 😟,sad
"Kudos sa mga tanod ng Brgy. Sugcong na regular na nagpapatrolya kahit hatinggabi na. Dahil sa inyo kampante kaming matulog. Hindi kayo sineseryoso ng iba pero kami, sineseryoso namin. Salamat! 👏",grateful
"concern ko lang Po may sumabit sa MGA kable ng telephone wire na container truck Dito po SA may nancayasan tapat Po ng checkpoint auto care, Kaya po subrang traffic Ngayon dito, tinakbuhan Po Niya Ang mga na damage Niya dito. Sana makuha Ng CCTV Ng brgy. Ang plate number Ng container truck.",satisfied
Hello po. Concern ko lang yung pagtatayo ng poste sa gitna ng daanan sa interior ng Nancayasan — napapaliit yung daan at nahihirapan ang mga sasakyan. Baka pwedeng ilipat sa tabi. Salamat po!,satisfied
I would like to complain po ung mga street light sa poblacion Mac Arthur highway near bayaoas road po dapat po ayusin nila Ang dilim po before the carabao land mark. Mahirap po kasi makita ung mga tumatawid,sad
Pakicheck naman po yung drainage sa kanto ng Anonas at McArthur Highway. Bawat umuulan ay umaapaw at baha agad yung kalsada. Sana maaksyunan bago pa tuluyang lumala. Salamat po!,satisfied
upload video test,sad
"Nag-aalala po kami sa aming mga anak na tumatawid araw-araw sa walang pedestrian lane na kalsada malapit sa Urdaneta National High School. Mabilis po ang mga sasakyan doon, palagi kaming nasa puso.",sad
"Pansamantalang reklamo ng lahat ng nanghihirap sa Urdaneta City na walang serbisyo mula sa ating gobyerno — para saan pa ang ating buwis kung walang maayos na kalsada, walang sapat na ilaw, at walang tutugon sa ating mga reklamo?! 😡",angry
"Sineseryoso ko ang pagireklamo sa DILG ng aming kapitan na ilang beses na naming nirereklamong walang aksyon — sawa na kami sa mga pangako! Kung hindi kayo gagawa ng aksyon, gagawa kami! Residente kami, may karapatan kami! 😡",angry
May concern Lang po Sana ako sa halos natutumbang Puno Ng mangga SA bactad east. Pgkatapos cia ng bukid if you're from Asingan. As in mababa na po cia and delikado na para SA mga motorist. SA inyo KO NLNG po ipapa abot. Baka mapansin Lang po. Salamat po,grateful
REKLAMO: Yung basurero namin sa Cayambanan interior ay hindi na dumadating sa loob ng tatlong linggo! Nag-aapaw na ang basura sa aming mga tahanan! Ito ba ang serbisyong binabayaran namin ng buwis?! Kahiya!,angry
Nakakagalit na meron pa ring hindi natatapos na road project sa Zone 1 Palina — tatlong buwan na nakatambak ang mga materyales sa kalsada at hindi pa rin natapos! Ang sira ng trapiko dun! Kanino ito kailangang ireklamo?! 😡,angry
Big thanks po sa mga kabataan ng Urdaneta City SK na nagsagawa ng coastal clean-up drive sa lugar namin. Ang ganda ng initiative ninyo! Patuloy lang po! 💚👏,grateful
Grabe ang takot namin nung may nakita kaming nakalaylay na live wire sa kalsada ng Zone 1 Nancamaliran kagabi. Tumawag agad kami ng emergency pero matagal bago dumating. Buti walang nasaktang tao. 😔,sad
Pakicheck naman po yung pinto ng public CR sa may Urdaneta market — sira na yung lock ng isa sa mga cubicle. Hindi komportable ang mga gumagamit nito. Sana maayos agad. Salamat!,satisfied
"Sawa na ang mga residente ng Nancamaliran sa mga contractor na gumagawa ng kalsada ngayon — ang ganda ng nagagawa sa papel, ang pangit sa katotohanan! Bako-bako pa rin kahit 'bago' na ang aspalto! Saan napunta ang kalidad?! 😡",angry
"Puro labor ang projects like grass cutting and pruning of trees, like ok naman pero for 50k per event? 🥴 sobrang maka(G) ang kapitan kaya di nakakasabay sa progress ng city. The fact na nakdikit sya sa poblacion. Mas malago sana ang barangay kung nagagamit ang pondo ng maayos. Imagine street lights project yung ilaw na pang bahay ilalagay 🥴. Ang lala ng corruption. Ang sk at brgy treasurer mag ina. May mga projects naman pero kasamihan request sa city or provincal. Like wal bang alam kapitan nyo jan?",satisfied
"Goodmorning po. Sana pong maaksyunan yung malaking butas sa kalsada dito sa Zone 2 Nancamaliran. Delikado na po lalo na pag gabi, hindi na nakikita ng mga motorsiklo. Salamat po!",satisfied
alam nyo bang yang pagharang nyo n tricycle at pag illegal park jan sa tapat ng fire truck ay pwedeng maging sakuna para sa iba? Dahil di makakalabas agad yang fire truck at makakaresponde,sad
"The Urdaneta City Library conducted a Library Fun Day (Career Guidance) for our Day Care pupils at the Child Development Center, Pinmaludpod. Through fun activities and simple career talks, the children were encouraged to imagine what they want to be when they grow up.",sad
Grabe na ang kapal ng mukha ng mga kontraktor na gumaawa ng kalsada sa Bypass Anonas — tatlong buwan pa lang tapos sira na! Saan napunta ang pera ng bayan?! Corruption! Dapat imbestigahan ito! 😡,angry
"paki tapik mga taga nancamaliran, eyesore sa mismong gilid ng bypass",sad
Sir boss amo vlog ka po dto sa anonas east Ganda kc ng daanan ngaun dto ang tinambak sa kalsada buhos na bato awareness po sa mga hnd Taga anonas ay mag ingat my natumba kc kanina naka motor po.,sad
"Wala po tyo intensyon manira sino po gumawa ng mga ByPass road basta ang alam ko nadaanan ko ito dati sa ByPass road, Brgy Anonas area, Urdaneta City, Pang. Sabi nga po ng Presidente, hindi lng mga Mayor o LGU, khit sino ordinario tao pwede kang mg sumbong bilang isang mamamayan pwede mgsumbong o mg report sa mga gumagawa sa mga project ng gobyerno na alqm nyo merun mali o pgkukulang para ma imbestigahan, ito bilang isang Tax Payer nman pg ganito makikita mo matutuwa kb kaylan lng mga ByPass road pero anu po ito sira agad mga Manhole/Drainage ng kalsada ibig sabihin kung sakali nadaanan ng sasakyan o Truck bumigay na bkit 9mm lng b nilagay na bakal instead 16mm,,,bka gusto ng contractor siguro malaki tubo nya ksi merun sya hahatian,,,pki share bka sakali mapansin din ng Presidente na mga proyekto ganito Bypass road ay merun din pla Problema",satisfied
Nag-aalala po kami sa patuloy na pagbabaho ng tubig sa aming kanal sa Zone 4 Palina — nagdudulot na ito ng sakit sa aming mga bata at matatanda. Ilang beses na naming isinumbong pero wala pa ring aksyon. 😟,sad
Pakibisita naman po ang interior road ng Brgy. Sugcong papunta sa Zone 3. Hindi na kayang daanan ng tricycle minsan kasi puno ng burak at lubak. Sana mabigyan ng pansin. Salamat!,satisfied
Sawa na ang mga taga-Zone 4 Nancamaliran sa paulit-ulit na baha tuwing umuulan — tatlong taon na kaming nagrereklamo tungkol sa drainage at hanggang ngayon walang permanenteng solusyon! Ilang taon pa ba kailangang hintayin?! 😡,angry
"Kalat, dumi at panghi sa ilalim ng Sm Urdaneta Foot bridge liban sa mga kalat ng nakikita sa larawan ginawa na rin daw itong ihian ng ilang tricycle Driver",sad
Grabe na ang kalupitan ng kalagayan ng drainage sa Zone 3 Catablan — buhay ng mga bata ang nasa panganib dahil sa malalim at bukas na kanal na walang takip. Nagpadala na kami ng sulat sa barangay at city ngunit walang tugon! HINDI ITO KATANGGAP-TANGGAP! 😡,angry
Salute po sa ating mga fire truck ng urdaneta city hanggang ngayon po di niyo po parin iniiwan ang lugar kung saan po ang sunog dito sa aming baranggay GOD BLESS PO,sad
Malungkot po ang nangyari sa aming kapitbahay kanina — nahulog sa lubak ang kanyang motorsiklo dahil sa madilim at walang warning sa nasabing bahagi ng kalsada sa Zone 1 Bactad. Sana wala nang maulit pang ganitong insidente.,sad
"Puro tarpaulin at fotoban ang nagagawa ng aming mga opisyal — kung kasinglusot lang ng paggawa ng kalsada ang bilis ng pag-print ng tarpaulin nila, ay matagal na tayong may maayos na infrastruktura! Huwag kayong lokohin ang mga mamamayan! 😡",angry
Formal na reklamo sa mga may pananagutan — ang bypass road ng Urdaneta ay nagiging paligid ng krimen sa gabi dahil walang sapat na ilaw at police visibility! Naganap na ang maraming krimen doon! Sino ang mananagot sa kaligtasan ng aming mga kababayan?! 😡,angry
Pakibisita naman po ang public market ng Urdaneta sa umaga — napaka-sikip na ng daanan ng mga mamimili kasi ang daming ambulant vendors sa gilid. Sana magkaroon ng mas maayos na vendor area. Salamat!,satisfied
"BRGY NANCAMALIRAN EAST ZONE 2 INTERIOR Baka naman ma aksyonan niyo ang BASURA DITO, 3weeks ng tambak mismo sa kalsada. Napaka baho napo. Sana Ma aksyonan napo ito. SALAMAT",grateful
i suggest magtayo ng branch ng wolfgang sa bypass,satisfied
Scandalo ang ginagawa ng mga kontraktor sa road project sa Brgy. Bactad — iniwan nilang basa ang semento kahit tag-ulan! Ngayon sira na agad! Sino ang susuportahan sa perang ito?! Tayo pa rin na mga mamamayan! 😡,angry
"Grabe ang pasasalamat namin sa barangay health worker namin sa Catablan. Lagi siyang available, lagi siyang nagpapaliwanag, hindi mapagmataas. Tunay na lingkod bayan. Salamat po! 🙏",grateful
Suggest ko po na ayusin ang drainage system sa may Palina East Zone 2 bago pa mag-tag-ulan. Laging nag-aapaw at nagbabaha. Prevention is better than cure. Sana mapag-priorityhan. Salamat!,satisfied
Thank you po sa barangay officials ng Anonas na naglagay ng street lights sa interior zone namin. Matagal na naming inaasam ito. Hindi na kami natatakot lumabas sa gabi. Salamat! 😊,grateful
"Matagal na akong nagtitiis pero ngayon, sumulat na ako nang pormal: ang kalagayan ng drainage sa aming lugar sa Cayambanan ay delikado na — bawat umuulan ay baha, bawat baha ay may nasasalanta! Sino ang mananagot sa mga pinsalang ito?! 😡",angry
Hello po urdaneta spot may gusto lang po sana akong ipa appreciation post sir video courtesy galing po Kay ma'am Gladys lamagna dahil sa nangyare po na sunog kanina sa kalapit barangay po Namin na sugcong saludo po sa mabilisang pagresponde ng ating mga bumbero sa urdaneta BFP kudos po sa kanila ...kayo napo bahala mag ayos po sa caption salamat po,grateful
"Puro batas at ordinansa ang ginagawa ng ating konseho pero sino ang nagpapatupad nito?! Lahat ng pinagbabawal ay ginagawa pa rin! Ang basura ay itinatambak pa rin, ang illegal parking ay tuloy-tuloy pa rin! Para saan pa yung mga ordinansang yun?! 😡",angry
"Hello po! Pakisabi sa garbage collection team na dumating nang mas maaga sa Nancamaliran Zone 1. Mga alas otso na sila dumadating, natatrapik na kasi lagi. Mas maaga po sana. Salamat!",satisfied
Nakakalungkot makita na ang malinis na kanal namin dati ay puno na ngayon ng basura at nagdudulot ng baha kahit maliit na ulan lang. Maraming taon nang ganito at hindi pa rin nasosolusyunan. 😟,sad
Pakibigyan pansin po yung ilang barangay road sa Palina East na hindi pa naaabot ng road maintenance program. Pareho ring may lubak-lubak din po ang mga residente roon. Sana maabot ang pansin ng mga kinauukulan. 🙏,satisfied
"Sana mag-schedule ng regular na medical mission ang City Health Office sa Sugcong. Medyo malayo kasi sa City Health yung mga residente doon, marami sa kanila lalo na ang matatanda ay hindi na kayang maglakad papunta sa city. Malaking tulong po yun. 🙏",angry
Nakakalungkot makita ang dating maayos na plaza ng aming barangay na puno na ngayon ng damo at basura. Wala na mang nagmamantini. Parang sinabi ng aming gobyerno na hindi na kami importante. 😟,sad
Saludo sa ating mga health workers ng Urdaneta City — kahit wala sa oras tinatawagan sila ay sumasagot at tumutulong. Tunay na mga bayani ng komunidad. Maraming salamat po! 🙏❤️,grateful
"Nakakaawa ang sitwasyon ng mga bata sa aming barangay na walang ligtas na lugar para maglaro — puno ng basura ang plaza, sira ang mga kagamitan, at malapit sa mabilis na kalsada. 😟",sad
